毛利率,流通股,净资产,净利润,流值,每股未分配利润,PE(动),链接,同比,收益(三),负债率,总股本,code,名称,ROE,总值,市净率,净利率,营收,上市时间
27.84%,1.42亿,2.879,2416万,26.87亿,0.971元,83.44,http://quote.eastmoney.com/sh600148.html,30.75%,0.171,53.44%,1.42亿,600148,长春一东,6.01%,26.87亿,6.60,6.05%,6.49亿,1998-05-20
0.34%,3.80亿,0.508,-1129万,23.30亿,-0.894元,-,http://quote.eastmoney.com/sh600149.html,-107.94%,-0.030,39.44%,3.80亿,600149,ST坊展,-5.68%,23.30亿,12.08,-37.05%,3063万,1999-10-14
10.80%,13.78亿,10.83,3.10亿,232.4亿,4.587元,56.27,http://quote.eastmoney.com/sh600150.html,206.58%,0.225,55.22%,13.78亿,600150,*ST船舶,2.16%,232.4亿,1.56,3.57%,112.0亿,1998-05-20
11.64%,13.89亿,3.843,-2.42亿,76.93亿,-0.623元,-,http://quote.eastmoney.com/sh600151.html,0.79%,-0.169,55.85%,14.34亿,600151,航天机电,-4.31%,79.46亿,1.44,-4.87%,50.03亿,1998-06-05
16.55%,2.95亿,3.364,9654万,22.53亿,0.281元,26.17,http://quote.eastmoney.com/sh600152.html,149.57%,0.219,45.08%,4.41亿,600152,维科技术,6.75%,33.69亿,2.27,8.38%,11.22亿,1998-06-09
4.74%,28.35亿,8.712,17.18亿,250.1亿,6.425元,10.92,http://quote.eastmoney.com/sh600153.html,5.34%,0.606,79.93%,28.35亿,600153,建发股份,7.06%,250.1亿,1.01,1.25%,1833亿,1998-06-16
77.26%,11.28亿,8.642,2.48亿,127.9亿,-0.186元,59.65,http://quote.eastmoney.com/sh600155.html,9.40%,0.143,60.99%,17.40亿,600155,华创阳安,1.65%,197.3亿,1.31,256.18%,1.00亿,1998-09-18
2.47%,4.02亿,1.495,-2139万,21.07亿,0.075元,-,http://quote.eastmoney.com/sh600156.html,55.65%,-0.053,37.52%,4.02亿,600156,华升股份,-3.50%,21.07亿,3.51,-4.06%,6.81亿,1998-05-27
24.71%,124.3亿,1.958,3108万,305.7亿,0.190元,737.57,http://quote.eastmoney.com/sh600157.html,-92.45%,0.003,73.49%,124.3亿,600157,永泰能源,0.13%,305.7亿,1.26,0.59%,166.3亿,1998-05-13
22.65%,6.57亿,1.962,4434万,72.39亿,0.783元,110.71,http://quote.eastmoney.com/sh600158.html,12.58%,0.053,57.29%,8.44亿,600158,中体产业,2.69%,92.90亿,5.48,6.31%,7.40亿,1998-03-27
10.39%,8.30亿,2.611,-3039万,25.65亿,1.165元,-,http://quote.eastmoney.com/sh600159.html,18.30%,-0.037,38.06%,8.30亿,600159,大龙地产,-1.38%,25.65亿,1.18,-9.27%,3.25亿,1998-05-26
24.98%,26.58亿,4.475,16.53亿,220.1亿,1.543元,10.31,http://quote.eastmoney.com/sh600160.html,104.66%,0.602,21.86%,27.45亿,600160,巨化股份,14.29%,227.3亿,1.85,13.93%,119.7亿,1998-06-26
48.27%,8.71亿,3.798,3.97亿,199.2亿,2.216元,37.68,http://quote.eastmoney.com/sh600161.html,-60.39%,0.455,12.80%,8.71亿,600161,天坛生物,10.42%,199.2亿,6.02,27.63%,20.57亿,1998-06-16
46.70%,29.75亿,1.415,2.82亿,82.70亿,0.399元,25.10,http://quote.eastmoney.com/sh600162.html,-31.45%,0.083,74.15%,33.99亿,600162,香江控股,4.48%,94.50亿,1.96,7.79%,27.61亿,1998-06-09
53.76%,9.99亿,1.831,9660万,39.78亿,-1.332元,30.89,http://quote.eastmoney.com/sh600163.html,14.15%,0.097,49.59%,9.99亿,600163,中闽能源,5.42%,39.78亿,2.17,29.58%,3.60亿,1998-06-02
7.52%,6.85亿,1.260,32.93万,37.53亿,-0.278元,8548.97,http://quote.eastmoney.com/sh600165.html,141.93%,0.001,54.83%,6.85亿,600165,新日恒力,0.04%,37.53亿,4.35,0.96%,4.81亿,1998-05-29
15.17%,66.70亿,2.548,-16.94亿,148.7亿,0.086元,-,http://quote.eastmoney.com/sh600166.html,-1324.33%,-0.254,70.44%,66.70亿,600166,福田汽车,-9.36%,148.7亿,0.88,-5.57%,311.0亿,1998-06-02
45.83%,8.22亿,4.274,6.38亿,106.0亿,1.552元,17.24,http://quote.eastmoney.com/sh600167.html,36.43%,0.362,28.19%,17.60亿,600167,联美控股,8.71%,227.1亿,3.72,44.42%,14.95亿,1999-01-28
33.04%,7.10亿,6.966,2.28亿,51.02亿,3.484元,16.81,http://quote.eastmoney.com/sh600168.html,-13.41%,0.321,56.73%,7.10亿,600168,武汉控股,4.68%,51.02亿,1.03,21.57%,10.50亿,1998-04-27
28.88%,25.64亿,1.613,652.5万,78.97亿,-0.137元,907.65,http://quote.eastmoney.com/sh600169.html,-62.35%,0.003,87.22%,25.64亿,600169,太原重工,0.16%,78.97亿,1.91,0.13%,41.55亿,1998-09-04
26.19%,6.74亿,3.408,8843万,95.68亿,0.593元,84.26,http://quote.eastmoney.com/sh600171.html,-42.02%,0.126,8.82%,7.00亿,600171,上海贝岭,3.70%,99.34亿,4.17,15.49%,5.82亿,1998-09-24
28.48%,11.45亿,3.361,1.02亿,55.17亿,1.022元,51.67,http://quote.eastmoney.com/sh600172.html,-8.29%,0.070,58.41%,14.51亿,600172,黄河旋风,2.10%,69.96亿,1.43,3.99%,25.10亿,1998-11-26
40.27%,6.99亿,3.000,3.14亿,33.83亿,1.735元,8.11,http://quote.eastmoney.com/sh600173.html,41.00%,0.447,63.54%,7.02亿,600173,卧龙地产,15.38%,33.96亿,1.61,19.31%,20.01亿,1999-04-15
11.93%,24.51亿,3.053,1.45亿,70.10亿,0.216元,52.75,http://quote.eastmoney.com/sh600175.html,433.36%,0.041,43.61%,35.76亿,600175,美都能源,1.00%,102.3亿,0.94,0.85%,47.58亿,1999-04-08
45.09%,35.02亿,3.897,19.12亿,372.3亿,1.827元,14.60,http://quote.eastmoney.com/sh600176.html,23.26%,0.546,52.74%,35.02亿,600176,中国巨石,14.60%,372.3亿,2.73,25.14%,76.29亿,1999-04-22
58.26%,35.81亿,7.232,23.41亿,303.3亿,4.168元,9.72,http://quote.eastmoney.com/sh600177.html,-12.58%,0.654,65.20%,35.81亿,600177,雅戈尔,9.28%,303.3亿,1.17,49.51%,47.32亿,1998-11-19
12.75%,4.62亿,4.180,6608万,26.11亿,0.777元,29.63,http://quote.eastmoney.com/sh600178.html,44.88%,0.143,43.03%,4.62亿,600178,东安动力,3.47%,26.11亿,1.35,6.94%,9.52亿,1998-10-14
12.90%,6.74亿,2.289,5.12亿,54.56亿,1.317元,17.66,http://quote.eastmoney.com/sh600179.html,39.93%,0.344,68.08%,14.87亿,600179,安通控股,15.89%,120.4亿,3.54,6.96%,73.52亿,1998-11-04
6.96%,10.16亿,5.525,3.78亿,93.82亿,2.917元,18.63,http://quote.eastmoney.com/sh600180.html,6.78%,0.372,72.80%,10.16亿,600180,瑞茂通,7.00%,93.82亿,1.67,1.34%,282.6亿,1998-07-03
16.72%,1.70亿,2.646,7445万,28.97亿,1.284元,58.37,http://quote.eastmoney.com/sh600182.html,83.53%,0.219,47.19%,3.40亿,600182,S佳通,8.43%,57.94亿,6.44,6.06%,25.30亿,1999-05-07
20.36%,21.17亿,3.026,8.10亿,254.1亿,1.134元,18.97,http://quote.eastmoney.com/sh600183.html,0.43%,0.474,47.62%,21.17亿,600183,生益科技,13.34%,254.1亿,3.97,9.56%,89.74亿,1998-10-28
13.44%,5.09亿,4.536,4468万,61.66亿,0.772元,103.51,http://quote.eastmoney.com/sh600184.html,118.21%,0.088,40.07%,5.09亿,600184,光电股份,1.94%,61.66亿,2.67,3.86%,11.55亿,2003-11-06
42.51%,20.60亿,3.637,3.90亿,99.50亿,1.944元,19.13,http://quote.eastmoney.com/sh600185.html,-6.34%,0.189,72.66%,20.60亿,600185,格力地产,4.93%,99.50亿,1.33,21.41%,18.19亿,1999-06-11
11.02%,10.62亿,-0.062,-9945万,25.59亿,-1.422元,-,http://quote.eastmoney.com/sh600186.html,8.91%,-0.094,112.60%,10.62亿,600186,莲花健康,-638.27%,25.59亿,-39.19,-9.52%,12.97亿,1998-08-25
34.94%,14.56亿,2.072,950.3万,49.64亿,-0.143元,445.12,http://quote.eastmoney.com/sh600187.html,-53.69%,0.006,35.63%,16.54亿,600187,国中水务,0.27%,56.40亿,1.65,2.79%,2.93亿,1998-11-11
19.86%,29.60亿,10.04,55.04亿,310.5亿,8.371元,7.02,http://quote.eastmoney.com/sh600188.html,13.36%,1.121,57.85%,49.12亿,600188,兖州煤业,9.51%,515.3亿,1.04,6.30%,1192亿,1998-07-01
39.49%,4.26亿,4.113,3542万,20.64亿,0.361元,73.62,http://quote.eastmoney.com/sh600189.html,165.44%,0.049,53.29%,7.17亿,600189,吉林森工,1.24%,34.77亿,1.18,5.13%,10.46亿,1998-10-07
11.32%,17.79亿,3.047,1.15亿,63.35亿,0.515元,46.55,http://quote.eastmoney.com/sh600190.html,34.39%,0.057,63.83%,20.02亿,600190,锦州港,1.90%,71.28亿,1.17,2.71%,43.63亿,1999-06-09
-37.75%,4.85亿,4.354,-6082万,26.67亿,0.532元,-,http://quote.eastmoney.com/sh600191.html,-277.96%,-0.125,13.28%,4.85亿,600191,华资实业,-3.11%,26.67亿,1.26,-1176.41%,517.1万,1998-12-10
22.29%,4.42亿,4.443,1292万,29.73亿,1.210元,172.54,http://quote.eastmoney.com/sh600192.html,-8.12%,0.029,54.32%,4.42亿,600192,长城电工,0.66%,29.73亿,1.51,1.49%,13.53亿,1998-12-24
14.19%,4.25亿,0.473,1928万,17.36亿,-0.972元,67.51,http://quote.eastmoney.com/sh600193.html,116.19%,0.045,26.77%,4.25亿,600193,*ST创兴,10.08%,17.36亿,8.63,16.95%,1.14亿,1999-05-27
28.47%,6.02亿,6.508,3.38亿,77.50亿,3.660元,17.20,http://quote.eastmoney.com/sh600195.html,28.58%,0.562,35.25%,6.02亿,600195,中牧股份,8.71%,77.50亿,1.98,11.80%,31.93亿,1999-01-07
58.27%,19.11亿,11.13,20.94亿,547.4亿,4.790元,26.30,http://quote.eastmoney.com/sh600196.html,-13.44%,0.817,51.80%,25.63亿,600196,复星医药,8.00%,734.3亿,2.57,12.89%,181.4亿,1998-08-07
47.82%,4.41亿,5.668,2.90亿,75.50亿,3.099元,12.83,http://quote.eastmoney.com/sh600197.html,12.90%,1.001,18.97%,4.41亿,600197,伊力特,0.00%,75.50亿,3.02,19.34%,14.98亿,1999-09-16
26.06%,8.75亿,-0.142,2.52亿,82.54亿,-5.366元,24.73,http://quote.eastmoney.com/sh600198.html,149.85%,0.286,96.22%,8.82亿,600198,*ST大唐,0.00%,83.18亿,-66.58,16.12%,15.71亿,1998-10-21
46.69%,5.56亿,4.034,162.5万,32.57亿,1.523元,1503.42,http://quote.eastmoney.com/sh600199.html,-67.38%,0.003,25.12%,5.56亿,600199,金种子酒,0.07%,32.57亿,1.45,0.30%,7.98亿,1998-08-12
34.77%,7.15亿,3.989,1.15亿,63.73亿,0.703元,41.90,http://quote.eastmoney.com/sh600200.html,13.30%,0.160,42.35%,7.22亿,600200,江苏吴中,3.96%,64.32亿,2.23,8.49%,13.98亿,1999-04-01
74.48%,11.26亿,4.397,6.81亿,196.5亿,2.275元,22.29,http://quote.eastmoney.com/sh600201.html,-0.23%,0.587,15.93%,11.60亿,600201,生物股份,14.22%,202.4亿,3.97,47.68%,14.32亿,1999-01-15
5.40%,3.70亿,4.449,1978万,23.06亿,-0.148元,107.85,http://quote.eastmoney.com/sh600203.html,-63.38%,0.043,71.18%,4.56亿,600203,福日电子,0.97%,28.44亿,1.40,0.28%,73.31亿,1999-05-14
6.93%,8.39亿,3.460,6811万,80.02亿,0.722元,88.98,http://quote.eastmoney.com/sh600206.html,40.83%,0.080,11.27%,8.47亿,600206,有研新材,2.36%,80.81亿,2.76,2.19%,32.34亿,1999-03-19
7.21%,6.90亿,2.179,-2618万,36.29亿,-2.616元,-,http://quote.eastmoney.com/sh600207.html,-305.29%,-0.030,13.32%,8.63亿,600207,安彩高科,-1.38%,45.39亿,2.41,-1.46%,15.86亿,1999-07-14
28.15%,85.98亿,3.834,17.70亿,329.3亿,1.803元,13.95,http://quote.eastmoney.com/sh600208.html,2.31%,0.206,75.56%,85.99亿,600208,新湖中宝,5.45%,329.4亿,1.00,25.01%,70.82亿,1999-06-23
3.35%,4.39亿,1.348,-2691万,19.32亿,0.004元,-,http://quote.eastmoney.com/sh600209.html,-15.83%,-0.061,18.22%,4.39亿,600209,*ST罗顿,-4.45%,19.32亿,3.26,-59.89%,5634万,1999-03-25
19.08%,15.17亿,2.919,3.91亿,68.86亿,1.335元,13.21,http://quote.eastmoney.com/sh600210.html,-41.57%,0.258,57.14%,15.17亿,600210,紫江企业,8.92%,68.86亿,1.56,5.74%,71.77亿,1999-08-24
79.42%,1.46亿,12.69,2.31亿,47.14亿,3.100元,18.87,http://quote.eastmoney.com/sh600211.html,71.51%,1.287,12.16%,1.80亿,600211,西藏药业,10.68%,58.16亿,2.55,31.41%,7.41亿,1999-07-21
15.77%,5.12亿,1.423,-2735万,25.53亿,-0.688元,-,http://quote.eastmoney.com/sh600212.html,-208.59%,-0.054,4.66%,5.12亿,600212,江泉实业,-3.69%,25.53亿,3.51,-16.12%,1.70亿,1999-08-17
18.41%,2.20亿,0.885,1925万,16.65亿,-1.890元,64.89,http://quote.eastmoney.com/sh600213.html,-21.63%,0.088,94.07%,2.20亿,600213,亚星客车,10.42%,16.65亿,8.55,1.31%,15.97亿,1999-08-31
11.49%,4.65亿,5.385,7542万,41.34亿,1.843元,41.11,http://quote.eastmoney.com/sh600215.html,793.99%,0.162,12.28%,4.65亿,600215,长春经开,3.06%,41.34亿,1.65,14.33%,5.26亿,1999-09-09
43.91%,9.56亿,8.009,5.15亿,105.2亿,4.510元,15.48,http://quote.eastmoney.com/sh600216.html,291.39%,0.533,18.48%,9.65亿,600216,浙江医药,6.84%,106.2亿,1.37,9.73%,51.05亿,1999-10-21
39.43%,13.19亿,1.361,2.07亿,74.12亿,0.672元,28.21,http://quote.eastmoney.com/sh600217.html,39.01%,0.149,62.83%,13.89亿,600217,中再资环,11.37%,78.04亿,4.13,11.90%,17.77亿,1999-12-16
10.89%,3.69亿,5.241,3671万,45.14亿,1.075元,92.21,http://quote.eastmoney.com/sh600218.html,-45.26%,0.100,46.98%,3.69亿,600218,全柴动力,1.91%,45.14亿,2.34,1.30%,26.26亿,1998-12-03
20.65%,97.87亿,3.195,13.96亿,273.1亿,0.728元,17.91,http://quote.eastmoney.com/sh600219.html,5.67%,0.117,25.47%,119.5亿,600219,南山铝业,4.20%,333.4亿,0.87,9.90%,149.8亿,1999-12-23
22.05%,17.83亿,1.205,9227万,53.32亿,0.130元,43.34,http://quote.eastmoney.com/sh600220.html,17.74%,0.052,47.23%,17.83亿,600220,江苏阳光,4.36%,53.32亿,2.48,5.79%,17.76亿,1999-09-27
12.57%,164.4亿,3.112,7.29亿,381.3亿,0.956元,40.11,http://quote.eastmoney.com/sh600221.html,-73.57%,0.043,60.88%,168.1亿,600221,海航控股,1.26%,389.9亿,0.75,1.47%,523.6亿,1999-11-25
34.18%,5.67亿,2.597,564.7万,27.04亿,0.370元,363.59,http://quote.eastmoney.com/sh600222.html,102.31%,0.010,45.07%,5.74亿,600222,太龙药业,0.38%,27.37亿,1.84,0.64%,8.50亿,1999-11-05
14.42%,10.01亿,2.427,9767万,37.64亿,1.030元,28.90,http://quote.eastmoney.com/sh600223.html,11.34%,0.098,94.09%,10.01亿,600223,鲁商置业,4.10%,37.64亿,1.55,2.31%,48.39亿,2000-01-13
20.47%,9.33亿,1.456,-2.63亿,35.82亿,-0.987元,-,http://quote.eastmoney.com/sh600225.html,-166.45%,-0.281,88.47%,9.35亿,600225,天津松江,-17.63%,35.92亿,2.64,-12.41%,22.12亿,2000-01-27
43.55%,19.93亿,1.408,2.13亿,75.13亿,0.238元,41.67,http://quote.eastmoney.com/sh600226.html,-3.02%,0.068,16.96%,31.39亿,600226,瀚叶股份,4.94%,118.3亿,2.68,29.68%,7.11亿,1999-11-16
32.99%,12.45亿,2.869,1.90亿,47.57亿,0.181元,25.59,http://quote.eastmoney.com/sh600227.html,865.11%,0.112,30.82%,16.93亿,600227,圣济堂,3.92%,64.68亿,1.33,11.04%,17.16亿,2000-02-21
15.78%,2.41亿,0.254,817.4万,19.21亿,-2.273元,176.26,http://quote.eastmoney.com/sh600228.html,140.15%,0.034,54.39%,2.41亿,600228,ST昌九,14.46%,19.21亿,31.39,3.65%,4.02亿,1999-01-19
37.13%,7.02亿,3.424,1.92亿,60.45亿,1.741元,23.65,http://quote.eastmoney.com/sh600229.html,5.38%,0.273,34.76%,7.02亿,600229,城市传媒,7.94%,60.45亿,2.51,12.37%,15.45亿,2000-03-09
51.71%,4.12亿,8.798,10.29亿,83.61亿,6.069元,6.09,http://quote.eastmoney.com/sh600230.html,6.63%,2.498,14.85%,4.12亿,600230,沧州大化,32.18%,83.61亿,2.31,32.14%,35.50亿,2000-04-06
15.83%,3.65亿,3.164,2554万,21.52亿,0.745元,63.20,http://quote.eastmoney.com/sh600232.html,32.46%,0.070,32.95%,3.65亿,600232,金鹰股份,2.20%,21.52亿,1.86,4.04%,8.73亿,2000-06-02
13.10%,7.83亿,3.641,12.54亿,106.7亿,1.328元,23.04,http://quote.eastmoney.com/sh600233.html,18.53%,0.443,31.24%,28.28亿,600233,圆通速递,12.75%,385.2亿,3.74,6.81%,186.2亿,2000-06-08
33.33%,2.02亿,0.341,-267.6万,15.39亿,-2.350元,-,http://quote.eastmoney.com/sh600234.html,74.18%,-0.013,82.57%,2.02亿,600234,ST山水,-2.95%,15.39亿,22.31,1.94%,1.15亿,2000-06-15
15.55%,3.51亿,3.685,1890万,26.38亿,0.126元,104.70,http://quote.eastmoney.com/sh600235.html,18.78%,0.054,39.35%,3.51亿,600235,民丰特纸,1.47%,26.38亿,2.04,1.57%,11.47亿,2000-06-15
54.41%,60.63亿,2.258,20.12亿,346.2亿,0.812元,12.90,http://quote.eastmoney.com/sh600236.html,9.95%,0.332,65.57%,60.63亿,600236,桂冠电力,13.90%,346.2亿,2.53,32.28%,71.62亿,2000-03-23
17.06%,5.64亿,2.197,428.5万,27.09亿,-0.410元,474.15,http://quote.eastmoney.com/sh600237.html,-50.57%,0.008,34.11%,5.64亿,600237,铜峰电子,0.34%,27.09亿,2.19,0.62%,6.51亿,2000-06-09
25.43%,4.45亿,1.328,-1.63亿,38.23亿,-0.230元,-,http://quote.eastmoney.com/sh600238.html,-4843.68%,-0.363,56.23%,4.48亿,600238,*ST椰岛,-24.07%,38.50亿,6.47,-46.85%,3.48亿,2000-01-20
39.37%,16.06亿,3.042,2.28亿,61.34亿,1.012元,20.22,http://quote.eastmoney.com/sh600239.html,160.56%,0.142,89.16%,16.06亿,600239,云南城投,4.25%,61.34亿,1.26,4.48%,69.93亿,1999-12-02
58.98%,14.24亿,4.582,-1.36亿,50.13亿,3.109元,-,http://quote.eastmoney.com/sh600240.html,-114.94%,-0.095,61.70%,14.24亿,600240,华业资本,-2.02%,50.13亿,0.77,-2.92%,46.95亿,2000-06-28
16.96%,2.52亿,4.770,-3185万,17.61亿,-0.061元,-,http://quote.eastmoney.com/sh600241.html,-282.89%,-0.108,41.91%,2.94亿,600241,时代万恒,-2.24%,20.60亿,1.47,-6.93%,6.81亿,2000-11-28
10.95%,3.04亿,4.553,9725万,46.02亿,-1.114元,53.36,http://quote.eastmoney.com/sh600242.html,8.59%,0.213,48.09%,4.57亿,600242,中昌数据,4.79%,69.18亿,3.33,4.82%,21.54亿,2000-12-07
11.15%,4.39亿,3.787,-8585万,23.57亿,-0.100元,-,http://quote.eastmoney.com/sh600243.html,-359.93%,-0.196,39.48%,4.39亿,600243,青海华鼎,-5.03%,23.57亿,1.42,-18.40%,5.44亿,2000-11-20
33.99%,12.17亿,3.524,3.39亿,51.35亿,0.700元,19.15,http://quote.eastmoney.com/sh600246.html,200.34%,0.165,44.96%,20.54亿,600246,万通地产,4.78%,86.68亿,1.20,15.54%,28.00亿,2000-09-22
26.01%,3.36亿,0.055,1480万,19.58亿,-1.771元,99.25,http://quote.eastmoney.com/sh600247.html,104.02%,0.044,97.10%,3.36亿,600247,*ST成城,133.00%,19.58亿,105.71,52.15%,2808万,2000-11-23
8.18%,6.08亿,4.077,9824万,28.01亿,0.927元,32.31,http://quote.eastmoney.com/sh600248.html,14.03%,0.107,62.22%,9.18亿,600248,延长化建,4.71%,42.32亿,1.13,3.10%,31.68亿,2000-06-22
19.55%,5.50亿,3.333,214.5万,29.42亿,0.080元,1028.67,http://quote.eastmoney.com/sh600249.html,103.05%,0.004,33.89%,5.50亿,600249,两面针,0.12%,29.42亿,1.61,-0.81%,8.95亿,2004-01-30
4.06%,2.59亿,1.724,1763万,21.37亿,-0.305元,90.90,http://quote.eastmoney.com/sh600250.html,122.33%,0.068,72.82%,2.59亿,600250,南纺股份,3.91%,21.37亿,4.79,2.12%,8.09亿,2001-03-06
8.65%,7.85亿,2.625,1.28亿,46.62亿,0.968元,27.21,http://quote.eastmoney.com/sh600251.html,40.90%,0.164,51.92%,7.85亿,600251,冠农股份,6.39%,46.62亿,2.26,7.93%,16.72亿,2003-06-09
89.00%,34.75亿,1.643,4.78亿,113.3亿,0.487元,17.79,http://quote.eastmoney.com/sh600252.html,-10.05%,0.138,20.23%,34.75亿,600252,中恒集团,8.30%,113.3亿,1.98,19.40%,24.62亿,2000-11-30
8.59%,17.70亿,1.985,4188万,49.37亿,0.298元,88.41,http://quote.eastmoney.com/sh600255.html,9.08%,0.024,37.72%,17.70亿,600255,梦舟股份,1.20%,49.37亿,1.41,1.88%,42.96亿,2000-11-22
34.72%,67.37亿,2.169,13.61亿,285.0亿,0.842元,15.84,http://quote.eastmoney.com/sh600256.html,451.40%,0.200,65.82%,67.94亿,600256,广汇能源,9.60%,287.4亿,1.95,13.99%,92.95亿,2000-05-26
94.56%,6.25亿,8.260,8.01亿,114.0亿,2.180元,16.72,http://quote.eastmoney.com/sh600258.html,45.62%,0.819,50.59%,9.79亿,600258,首旅酒店,10.40%,178.6亿,2.21,13.08%,63.69亿,2000-06-01
4.03%,2.62亿,5.998,-1.35亿,81.57亿,-2.022元,-,http://quote.eastmoney.com/sh600259.html,-1752.23%,-0.448,52.37%,3.02亿,600259,广晟有色,-7.18%,93.92亿,5.19,-9.19%,15.91亿,2000-05-25
14.69%,6.28亿,7.822,8.43亿,153.6亿,3.181元,15.55,http://quote.eastmoney.com/sh600260.html,62.22%,1.179,69.49%,7.15亿,600260,凯乐科技,16.45%,174.8亿,3.13,7.25%,118.6亿,2000-07-06
22.28%,14.52亿,2.340,2.88亿,55.76亿,0.942元,14.50,http://quote.eastmoney.com/sh600261.html,-10.88%,0.199,43.32%,14.52亿,600261,阳光照明,8.55%,55.76亿,1.64,7.09%,41.97亿,2000-07-20
20.81%,1.70亿,6.539,7278万,33.15亿,1.018元,34.16,http://quote.eastmoney.com/sh600262.html,431.90%,0.428,48.77%,1.70亿,600262,北方股份,6.70%,33.15亿,2.98,19.26%,9.11亿,2000-06-30
-0.31%,1.30亿,0.058,-2114万,37.84亿,-3.231元,-,http://quote.eastmoney.com/sh600265.html,-12.76%,-0.163,98.57%,1.30亿,600265,ST景谷,-116.72%,37.84亿,501.69,-39.38%,5398万,2000-08-25
30.41%,15.67亿,12.03,6.71亿,155.9亿,5.932元,17.44,http://quote.eastmoney.com/sh600266.html,39.09%,0.428,76.69%,15.67亿,600266,北京城建,3.32%,155.9亿,0.83,8.41%,76.81亿,1999-02-03
39.17%,9.66亿,6.917,711.4万,112.3亿,1.784元,1183.90,http://quote.eastmoney.com/sh600267.html,39.19%,0.007,64.45%,9.66亿,600267,海正药业,0.11%,112.3亿,1.68,3.43%,78.05亿,2000-07-25
24.80%,6.35亿,3.239,-2357万,34.24亿,0.081元,-,http://quote.eastmoney.com/sh600268.html,69.15%,-0.034,68.02%,6.95亿,600268,国电南自,-1.03%,37.47亿,1.66,2.02%,28.59亿,1999-11-18
45.12%,23.35亿,6.175,8.30亿,105.8亿,3.665元,9.56,http://quote.eastmoney.com/sh600269.html,1.52%,0.355,51.88%,23.35亿,600269,赣粤高速,5.73%,105.8亿,0.73,25.33%,31.56亿,2000-05-18
16.24%,18.53亿,5.329,8.54亿,550.3亿,3.696元,48.56,http://quote.eastmoney.com/sh600271.html,-23.87%,0.459,37.88%,18.63亿,600271,航天信息,7.99%,553.2亿,5.57,6.74%,231.1亿,2003-07-11
24.80%,1.60亿,2.029,2674万,14.19亿,0.573元,60.45,http://quote.eastmoney.com/sh600272.html,33.12%,0.110,49.14%,2.43亿,600272,开开实业,5.33%,21.55亿,4.37,4.16%,6.43亿,2001-02-28
30.96%,14.14亿,4.396,8.55亿,140.7亿,1.469元,12.50,http://quote.eastmoney.com/sh600273.html,25.41%,0.597,22.59%,14.33亿,600273,嘉化能源,12.90%,142.6亿,2.26,20.48%,41.90亿,2003-06-27
19.37%,5.09亿,0.275,-719.5万,15.67亿,-1.034元,-,http://quote.eastmoney.com/sh600275.html,74.61%,-0.014,39.82%,5.09亿,600275,ST昌鱼,-5.01%,15.67亿,11.19,-52.07%,1382万,2000-08-10
12.33%,26.74亿,5.390,5.38亿,173.0亿,0.664元,24.69,http://quote.eastmoney.com/sh600277.html,50.53%,0.197,47.13%,27.39亿,600277,亿利洁能,3.67%,177.2亿,1.20,5.61%,131.9亿,2000-07-25
5.39%,5.22亿,7.087,1.04亿,54.57亿,2.389元,39.36,http://quote.eastmoney.com/sh600278.html,-1.53%,0.199,49.32%,5.22亿,600278,东方创业,2.68%,54.57亿,1.47,1.08%,127.6亿,2000-07-12
6.57%,6.93亿,5.216,1.04亿,31.88亿,1.084元,22.94,http://quote.eastmoney.com/sh600279.html,-13.02%,0.150,44.76%,6.93亿,600279,重庆港九,2.85%,31.88亿,0.88,2.42%,55.31亿,2000-07-31
22.87%,11.38亿,1.649,7364万,54.75亿,0.299元,56.25,http://quote.eastmoney.com/sh600280.html,-72.97%,0.064,87.85%,11.48亿,600280,中央商场,3.89%,55.23亿,2.92,1.23%,59.76亿,2000-09-26
2.85%,5.14亿,1.019,-3454万,21.81亿,-1.225元,-,http://quote.eastmoney.com/sh600281.html,10.67%,-0.067,68.18%,5.14亿,600281,太化股份,-6.37%,21.81亿,4.16,-6.42%,5.35亿,2000-11-09
21.14%,44.22亿,3.350,34.37亿,181.3亿,1.768元,3.96,http://quote.eastmoney.com/sh600282.html,67.95%,0.777,54.48%,44.22亿,600282,南钢股份,25.84%,181.3亿,1.22,12.09%,336.4亿,2000-09-19
39.07%,3.53亿,5.400,8993万,47.16亿,0.721元,39.33,http://quote.eastmoney.com/sh600283.html,46.78%,0.255,58.18%,3.53亿,600283,钱江水利,4.81%,47.16亿,2.47,14.95%,7.86亿,2000-10-18
76.17%,5.30亿,3.605,2.13亿,47.29亿,1.390元,18.46,http://quote.eastmoney.com/sh600285.html,11.77%,0.363,36.77%,5.86亿,600285,羚锐制药,9.61%,52.37亿,2.48,13.48%,15.95亿,2000-10-18
8.15%,4.37亿,4.163,7349万,27.21亿,1.337元,27.77,http://quote.eastmoney.com/sh600287.html,4.15%,0.168,37.27%,4.37亿,600287,江苏舜天,4.13%,27.21亿,1.50,2.24%,39.29亿,2000-09-01
22.59%,4.37亿,3.562,3160万,46.56亿,1.829元,110.51,http://quote.eastmoney.com/sh600288.html,509.12%,0.072,39.86%,4.37亿,600288,大恒科技,2.04%,46.56亿,2.99,0.57%,23.09亿,2000-11-29
