毛利率,流通股,净资产,净利润,流值,每股未分配利润,PE(动),链接,同比,收益(三),负债率,总股本,code,名称,ROE,总值,市净率,净利率,营收,上市时间
18.81%,5.60亿,1.726,2974万,83.21亿,0.269元,123.79,http://quote.eastmoney.com/sz002647.html,312.06%,0.090,70.50%,5.60亿,002647,仁东控股,3.49%,83.21亿,8.61,3.18%,9.97亿,2011-12-28
20.71%,10.37亿,7.537,6.23亿,141.8亿,2.096元,15.50,http://quote.eastmoney.com/sz002648.html,-10.45%,0.875,39.65%,10.66亿,002648,卫星石化,8.17%,145.8亿,1.81,9.33%,69.27亿,2011-12-28
25.42%,4.17亿,4.609,1.67亿,42.63亿,1.687元,18.38,http://quote.eastmoney.com/sz002649.html,29.47%,0.417,27.19%,5.25亿,002649,博彦科技,7.42%,53.71亿,2.22,8.40%,20.14亿,2012-01-06
26.67%,9.47亿,1.892,1.03亿,39.49亿,0.598元,30.02,http://quote.eastmoney.com/sz002650.html,-19.63%,0.104,19.96%,11.52亿,002650,加加食品,4.90%,48.04亿,2.20,7.89%,13.12亿,2012-01-06
43.77%,4.18亿,2.013,9952万,23.82亿,0.429元,35.89,http://quote.eastmoney.com/sz002651.html,32.42%,0.119,16.51%,10.18亿,002651,利君股份,4.97%,58.00亿,2.83,26.02%,3.83亿,2012-01-06
14.07%,5.10亿,1.554,4902万,25.83亿,0.416元,40.69,http://quote.eastmoney.com/sz002652.html,-18.66%,0.093,68.51%,5.12亿,002652,扬子新材,6.52%,25.96亿,3.26,3.76%,21.86亿,2012-01-19
63.83%,4.85亿,1.878,3.03亿,57.89亿,0.703元,28.85,http://quote.eastmoney.com/sz002653.html,48.79%,0.310,47.36%,10.80亿,002653,海思科,14.64%,129.0亿,6.36,14.04%,20.84亿,2012-01-17
16.27%,5.75亿,2.398,1.40亿,30.66亿,0.626元,-,http://quote.eastmoney.com/sz002654.html,6.71%,-1.080,42.57%,9.03亿,002654,万润科技,4.43%,48.11亿,2.22,4.57%,34.18亿,2012-02-17
25.66%,3.60亿,1.357,423.9万,32.15亿,0.059元,150.57,http://quote.eastmoney.com/sz002655.html,-32.59%,0.059,55.40%,3.60亿,002655,共达电声,0.90%,32.15亿,6.58,2.65%,5.98亿,2012-02-17
44.74%,4.72亿,3.436,5837万,32.55亿,0.417元,48.69,http://quote.eastmoney.com/sz002656.html,-51.12%,0.106,26.35%,7.13亿,002656,摩登大道,2.44%,49.16亿,2.01,4.43%,10.48亿,2012-02-28
