code,exp2015,exp2016,exp2017,exp2018,income2015,income2016,income2017,income2018,net2015,net2016,net2017,net2018,sale2015,sale2016,sale2017,sale2018
AGO,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
AGQ,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
AGR,0_0,--_--,--_--,--_--,0_0,16.70亿_--,17.58亿_5.27%,18.65亿_6.09%,0_0,--_--,--_--,--_--,0_0,2.05亿_--,1.97亿_-3.90%,2.03亿_3.05%
AGRO,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
AGRX,537.81万_--,492.70万_-8.39%,472.10万_-4.18%,396.00万_-16.12%,--_--,--_--,--_--,--_--,537.81万_--,492.70万_-8.39%,472.10万_-4.18%,396.00万_-16.12%,159.87万_--,205.30万_28.42%,240.50万_17.15%,308.60万_28.32%
AGS,0_0,0_0,530.40万_--,862.50万_62.61%,0_0,0_0,4777.40万_--,6485.60万_35.76%,0_0,0_0,530.40万_--,862.50万_62.61%,0_0,0_0,2873.20万_--,3612.60万_25.73%
AGX,0_0,--_--,--_--,--_--,0_0,8548.80万_--,1.30亿_52.07%,2.30亿_76.92%,0_0,--_--,--_--,--_--,0_0,554.00万_--,704.70万_27.20%,948.90万_34.65%
AGYS,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
AHH,0_0,0_0,--_--,--_--,0_0,0_0,--_--,--_--,0_0,0_0,--_--,--_--,0_0,0_0,298.60万_--,296.10万_-0.84%
AHL,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
