code,name,pe,pb,eps,count,max,mean,min,volume_end,volume_start,year
NRT,北欧皇家石油信托,10.002398,646.477545,0.779813,252,41.5,22.22989087,6.14,380554.7381,215720.6349,21
CARB,Carbonite,1102.43149,20.320064,0.037508,85,41.55,14.68905882,7.01,5812516.721,2301990.476,7
FCAP,第一资本,16.8433,1.679514,2.386112,233,41.55,19.32375751,8.075,21011.10256,11101.72414,19
ZBIO,ProShares UltraPro Short NASDAQ Biotechnology,0,0,0,39,41.56,20.28152821,9.11,524984.9,1533910.684,3
DBA,农业指数ETF-PowerShares DB,0,0.944941,-1.809741,140,41.56,25.77407143,17.06,12018224.91,31892428.57,11
WPRT,Westport Innovations Inc,0,1.354034,-1.05,121,41.6,13.45045455,0.96,15342258.08,15640248.33,10
UBSH,Union First Market Bankshares Co,23.494291,1.489146,1.791499,103,41.6,22.87679612,10.72,3682100.231,1177401.961,8
TRUP,Trupanion,0,10.608138,-0.075268,50,41.6,16.773,6.07,4354300.4,2187914.12,4
FEP,First Trust Europe AlphaDEX Fund,0,0,0,39,41.62,33.18564103,26.98,3057414.35,1934392.842,3
SJB,ProShares Short High Yield,0,0,0,90,41.62,29.19060778,22.6802,2169950.289,988633.3333,7
LMNX,路明克斯,36.699412,2.683045,0.762955,222,41.63,17.01621622,4,4368737.153,3939481.982,18
OBE,畔西能源信托,0,0.318219,-0.851,159,41.63,15.31885912,0.4502,48040870.46,34304718.99,13
FLEX,伟创力国际,17.530694,2.381677,0.792895,252,41.655,12.10050159,2.06,114223167.7,136405784.9,21
ENLC,"EnLink Midstream, LLC",12.740602,1.680654,1.361788,54,41.66,22.58185185,8.37,9336628.852,7152934.037,4
VALQ,American Century STOXX U.S. Quality Value ETF,0,0,0,8,41.66,39.878625,38.4,13316.5,55153.75,0
QRHC,Quest Resource Holding Corp,0,0.534641,-0.294956,52,41.68,6.929459615,1.1633,921737.0385,205615.0769,4
FNDA,Schwab Fundamental U.S. Small Co,0,0,0,61,41.68,31.59704918,23.95,4425284.258,1527088.9,5
MRO,马拉松石油,0,1.451037,-0.200036,252,41.69,15.96959325,3.035,223632784.5,244384897.6,21
TEO,阿根廷电信,0.003809,0.144239,4684.027344,252,41.69,17.96234127,0.65,4213031.524,6540159.524,21
BELFB,Bel Fuse Inc,0,1.699774,-5.17,242,41.7,23.84076446,6.94,602173.8926,674272.7273,20
FBNC,第一万能金控,17.163948,1.755603,2.495638,252,41.72,17.73895992,8.04,912566.2698,269298.6111,21
SKT,Tanger Factory Outlet Centers In,37.095099,4.129614,0.653186,252,41.74,19.14862103,4.7825,18859425.54,5396877.778,21
ANW,Aegean Marine Petroleum Network,0,0.133631,-0.76,141,41.75,13.14455674,0.6625,9341495.239,9549817.143,11
ALTR,Altair Engineering Inc.,0,14.040103,-1.622536,10,41.77,30.581,22.39,8397858.8,7524886.4,0
OILX,UBS ETRACS S&P GSCI Crude Oil Total Return Index,0,0,0,31,41.77,32.52097742,25.59,6390.5625,211483.4,2
XNCR,Xencor Inc,0,4.398957,-1.629954,57,41.79,19.1254386,8.79,5335578.069,3589563.679,4
NUTR,营养保健国际,26.967743,2.121,1.55,236,41.8,14.64800847,1.75,467013.9068,994755.9322,19
OSB,Norbord Inc.,10.856879,4.049001,3.8897,31,41.82,30.28548387,16.35,2095163,250924.5333,2
MLI,木勒工业,22.172639,3.430446,1.498243,252,41.82,19.69986111,9.035,5893479.905,6594093.651,21
CSIQ,阿特斯太阳能,6.056501,0.76214,2.28845,142,41.84,15.93320423,2.59,44125826.51,28518140.85,11
FSB,"Franklin Financial Network, Inc.",16.546311,1.59629,2.317737,40,41.85,33.1105,21,1850204.7,1216695.25,3
AKO.B,Embotelladora Andina,19.364322,0.00249,1.213572,252,41.85,18.62297619,4.99,525727.8016,694413.4921,21
NBTB,NBT Bancorp Inc,18.977966,1.834574,2.167777,252,41.88,22.83728968,9.94,2025769.365,877614.381,21
EPHE,Ishares Msci Philippines Investa,0,0,0,96,41.88,33.33109375,21.26,5424289.375,3684185.417,8
CTG,Computer Task Group Incorporate,83.264175,1.281775,0.0723,252,41.94,9.490654762,1.93,1031898.952,936095.2381,21
