,code,name,bvps,0,1,2
376,600776,东方通信,2.42,4.7,21.1,3.4893617021276597
377,600282,南钢股份,2.86,4.31,8.2,0.9025522041763341
378,600109,国金证券,6.31,7.07,7.4,0.046676096181046685
379,300733,西菱动力,6.97,18.47,25.44,0.3773687060097457
380,002079,苏州固锝,2.13,6.29,10.81,0.7186009538950716
381,002679,福建金森,5.65,23.59,12.04,-0.48961424332344217
382,000810,创维数字,2.61,9.84,13.8,0.402439024390244
383,603639,海利尔,10.15,26.8,49.89,0.8615671641791044
384,600151,航天机电,3.9,3.95,14.69,2.7189873417721513
385,300551,古鳌科技,4.65,12.64,38.54,2.049050632911392
386,002799,环球印务,3.51,16.6,43.64,1.6289156626506023
387,600326,西藏天路,3.1,5.56,19.29,2.469424460431655
388,000513,丽珠集团,15.41,43.26,11.55,-0.7330097087378641
389,600780,通宝能源,4.27,3.97,13.0,2.27455919395466
390,603822,嘉澳环保,9.43,27.4,18.62,-0.3204379562043795
391,300281,金明精机,2.88,6.36,21.24,2.339622641509434
392,300082,奥克股份,4.26,4.78,72.31,14.127615062761505
393,002071,长城影视,1.28,5.58,7.56,0.35483870967741926
394,300560,中富通,3.12,22.34,78.23,2.501790510295434
395,002344,海宁皮城,5.8,4.79,21.63,3.5156576200417535
396,300583,赛托生物,15.92,41.2,66.05,0.603155339805825
397,300269,联建光电,8.01,7.2,22.46,2.1194444444444445
398,002931,锋龙股份,5.18,44.01,45.2,0.027039309247898317
399,300498,温氏股份,6.61,22.05,48.84,1.2149659863945579
400,603839,安正时尚,6.6,17.17,41.57,1.421083284799068
401,600622,光大嘉宝,4.84,6.83,14.02,1.0527086383601756
402,600459,贵研铂业,5.77,10.06,14.6,0.45129224652087463
403,300019,硅宝科技,2.25,6.44,45.28,6.031055900621118
404,300378,鼎捷软件,4.67,12.49,31.28,1.5044035228182544
405,300496,中科创达,3.17,28.61,140.01,3.8937434463474307
406,002429,兆驰股份,1.85,2.42,22.96,8.487603305785123
407,601318,中国平安,27.46,56.94,47.1,-0.17281348788198098
408,300389,艾比森,3.33,17.4,72.3,3.1551724137931036
409,300336,新文化,5.7,8.1,24.43,2.0160493827160493
410,300713,英可瑞,7.59,42.55,95.08,1.2345475910693302
411,002231,奥维通信,1.93,7.3,12.21,0.6726027397260276
412,603228,景旺电子,8.41,50.35,43.2,-0.14200595829195628
413,600410,华胜天成,4.41,8.57,24.66,1.8774795799299882
414,600426,华鲁恒升,6.19,16.8,14.05,-0.1636904761904762
415,002572,索菲亚,4.95,29.52,71.52,1.4227642276422765
416,002006,精功科技,2.28,5.34,15.45,1.893258426966292
417,002282,博深工具,4.76,9.86,13.9,0.40973630831643015
418,600228,ST昌九,0.22,8.63,6.48,-0.2491309385863268
